start_time,length,rename_to
0,1.29295833333333,out1
1.29295833333333,3.42008333333333,out2
4.71304166666667,3.878875,out3
8.59191666666667,1.66833333333333,out4
10.26025,0.75075,out5
11.011,4.379375,out6
15.390375,4.75475,out7
20.145125,3.71204166666667,out8
23.8571666666667,3.04470833333333,out9
26.901875,1.58491666666666,out10
28.4867916666667,2.04370833333333,out11
30.5305,7.54920833333334,out12
38.0797083333333,5.04670833333333,out13
43.1264166666667,5.46379166666667,out14
48.5902083333333,1.83516666666667,out15
50.425375,2.33566666666666,out16
52.7610416666667,2.29395833333334,out17
55.055,2.83616666666666,out18
57.8911666666667,1.20954166666667,out19
59.1007083333333,1.5015,out20
60.6022083333333,2.33566666666667,out21
62.937875,1.29295833333334,out22
64.2308333333333,1.04270833333334,out23
65.2735416666667,3.87887499999999,out24
69.1524166666667,5.630625,out25
74.7830416666667,21.77175,out26
96.5547916666667,5.25524999999999,out27
101.810041666667,4.46279166666668,out28
106.272833333333,3.25324999999999,out29
109.526083333333,1.126125,out30
110.652208333333,0.792458333333329,out31
111.444666666667,1.876875,out32
113.321541666667,3.42008333333334,out33
116.741625,6.46479166666667,out34
123.206416666667,2.04370833333333,out35
125.250125,2.75274999999999,out36
128.002875,2.75275000000002,out37
130.755625,3.79545833333333,out38
134.551083333333,1.29295833333333,out39
135.844041666667,4.04570833333332,out40
139.88975,4.08741666666668,out41
143.977166666667,9.88487499999999,out42
153.862041666667,0.107958333333329,out43
